agent_id,Agent,Role,agent_url
1,Brimstone,Controller,https://www.vlr.gg/img/vlr/game/agents/brimstone.png
14,Skye,Initiator,https://www.vlr.gg/img/vlr/game/agents/skye.png
5,Cypher,Sentinel,https://www.vlr.gg/img/vlr/game/agents/cypher.png
13,Breach,Initiator,https://www.vlr.gg/img/vlr/game/agents/breach.png
19,Neon,Duelist,https://www.vlr.gg/img/vlr/game/agents/neon.png
17,Kayo,Initiator,https://www.vlr.gg/img/vlr/game/agents/kayo.png
12,Raze,Duelist,https://www.vlr.gg/img/vlr/game/agents/raze.png
2,Viper,Controller,https://www.vlr.gg/img/vlr/game/agents/viper.png
4,Killjoy,Sentinel,https://www.vlr.gg/img/vlr/game/agents/killjoy.png
21,Harbor,Controller,https://www.vlr.gg/img/vlr/game/agents/harbor.png
6,Sova,Initiator,https://www.vlr.gg/img/vlr/game/agents/sova.png
7,Sage,Sentinel,https://www.vlr.gg/img/vlr/game/agents/sage.png
3,Omen,Controller,https://www.vlr.gg/img/vlr/game/agents/omen.png
10,Jett,Duelist,https://www.vlr.gg/img/vlr/game/agents/jett.png
16,Astra,Controller,https://www.vlr.gg/img/vlr/game/agents/astra.png
15,Yoru,Duelist,https://www.vlr.gg/img/vlr/game/agents/yoru.png
20,Fade,Initiator,https://www.vlr.gg/img/vlr/game/agents/fade.png
18,Chamber,Sentinel,https://www.vlr.gg/img/vlr/game/agents/chamber.png
11,Phoenix,Duelist,https://www.vlr.gg/img/vlr/game/agents/phoenix.png
9,Reyna,Duelist,https://www.vlr.gg/img/vlr/game/agents/reyna.png
22,Gekko,Initiator,https://www.vlr.gg/img/vlr/game/agents/gekko.png
